breed_id,condition_id,metric_type,metric_value,age_band,source,citation
dog_dachshund,obesity,prevalence,0.15,all,VetCompass,"VetCompass 2021 Breed Health Report"
dog_dachshund,dental_disease,prevalence,0.18,senior,VetCompass,"VetCompass 2021 Breed Health Report"
dog_dachshund,patellar_luxation,prevalence,0.06,all,VetCompass,"VetCompass 2021 Breed Health Report"
dog_dachshund,eye_disease,prevalence,0.05,senior,VetCompass,"VetCompass 2021 Breed Health Report"
dog_shih_tzu,eye_disease,prevalence,0.15,all,VetCompass,"VetCompass 2021 Breed Health Report"
dog_shih_tzu,ear_infection,prevalence,0.12,all,VetCompass,"VetCompass 2021 Breed Health Report"
dog_shih_tzu,dental_disease,prevalence,0.18,senior,VetCompass,"VetCompass 2021 Breed Health Report"
dog_shih_tzu,skin_allergies,prevalence,0.10,all,VetCompass,"VetCompass 2021 Breed Health Report"
dog_shih_tzu,boas,prevalence,0.08,all,VetCompass,"VetCompass 2021 Breed Health Report"
dog_siberian_husky,eye_disease,prevalence,0.10,all,VetCompass,"VetCompass 2021 Breed Health Report"
dog_siberian_husky,hip_dysplasia,prevalence,0.08,all,VetCompass,"VetCompass 2021 Breed Health Report"
dog_siberian_husky,skin_allergies,prevalence,0.12,all,VetCompass,"VetCompass 2021 Breed Health Report"
dog_siberian_husky,hypothyroidism,prevalence,0.05,senior,VetCompass,"VetCompass 2021 Breed Health Report"
dog_siberian_husky,epilepsy,prevalence,0.03,all,VetCompass,"VetCompass 2021 Breed Health Report"
dog_cavalier_king_charles,heart_disease,prevalence,0.42,all,VetCompass,"VetCompass 2021 Breed Health Report"
dog_cavalier_king_charles,syringomyelia,prevalence,0.25,all,VetCompass,"VetCompass 2021 Breed Health Report"
dog_cavalier_king_charles,ear_infection,prevalence,0.15,all,VetCompass,"VetCompass 2021 Breed Health Report"
dog_cavalier_king_charles,eye_disease,prevalence,0.12,all,VetCompass,"VetCompass 2021 Breed Health Report"
dog_cavalier_king_charles,patellar_luxation,prevalence,0.08,all,VetCompass,"VetCompass 2021 Breed Health Report"
dog_pug,boas,prevalence,0.52,all,VetCompass,"VetCompass 2021 Breed Health Report"
dog_pug,eye_disease,prevalence,0.18,all,VetCompass,"VetCompass 2021 Breed Health Report"
dog_pug,skin_fold_dermatitis,prevalence,0.20,all,VetCompass,"VetCompass 2021 Breed Health Report"
dog_pug,obesity,prevalence,0.22,all,VetCompass,"VetCompass 2021 Breed Health Report"
dog_pug,spinal_disease,prevalence,0.10,all,VetCompass,"VetCompass 2021 Breed Health Report"
dog_border_collie,hip_dysplasia,prevalence,0.08,all,VetCompass,"VetCompass 2021 Breed Health Report"
dog_border_collie,epilepsy,prevalence,0.06,all,VetCompass,"VetCompass 2021 Breed Health Report"
dog_border_collie,eye_disease,prevalence,0.10,senior,VetCompass,"VetCompass 2021 Breed Health Report"
dog_border_collie,dental_disease,prevalence,0.08,senior,VetCompass,"VetCompass 2021 Breed Health Report"
dog_border_collie,arthritis,prevalence,0.12,senior,VetCompass,"VetCompass 2021 Breed Health Report"
dog_cocker_spaniel,ear_infection,prevalence,0.25,all,VetCompass,"VetCompass 2021 Breed Health Report"
dog_cocker_spaniel,eye_disease,prevalence,0.12,all,VetCompass,"VetCompass 2021 Breed Health Report"
dog_cocker_spaniel,skin_allergies,prevalence,0.15,all,VetCompass,"VetCompass 2021 Breed Health Report"
dog_cocker_spaniel,hip_dysplasia,prevalence,0.06,all,VetCompass,"VetCompass 2021 Breed Health Report"
dog_cocker_spaniel,hypothyroidism,prevalence,0.05,senior,VetCompass,"VetCompass 2021 Breed Health Report"
dog_jack_russell,patellar_luxation,prevalence,0.10,all,VetCompass,"VetCompass 2021 Breed Health Report"
dog_jack_russell,dental_disease,prevalence,0.15,senior,VetCompass,"VetCompass 2021 Breed Health Report"
dog_jack_russell,eye_disease,prevalence,0.08,senior,VetCompass,"VetCompass 2021 Breed Health Report"
dog_jack_russell,deafness,prevalence,0.04,all,VetCompass,"VetCompass 2021 Breed Health Report"
dog_jack_russell,skin_allergies,prevalence,0.10,all,VetCompass,"VetCompass 2021 Breed Health Report"
dog_miniature_schnauzer,pancreatitis,prevalence,0.12,all,VetCompass,"VetCompass 2021 Breed Health Report"
dog_miniature_schnauzer,diabetes,prevalence,0.08,senior,VetCompass,"VetCompass 2021 Breed Health Report"
dog_miniature_schnauzer,hyperlipidemia,prevalence,0.10,all,VetCompass,"VetCompass 2021 Breed Health Report"
dog_miniature_schnauzer,urinary_stones,prevalence,0.08,all,VetCompass,"VetCompass 2021 Breed Health Report"
dog_miniature_schnauzer,skin_allergies,prevalence,0.10,all,VetCompass,"VetCompass 2021 Breed Health Report"
dog_chihuahua,dental_disease,prevalence,0.28,all,VetCompass,"VetCompass 2021 Breed Health Report"
dog_chihuahua,patellar_luxation,prevalence,0.15,all,VetCompass,"VetCompass 2021 Breed Health Report"
dog_chihuahua,heart_disease,prevalence,0.10,senior,VetCompass,"VetCompass 2021 Breed Health Report"
dog_chihuahua,tracheal_collapse,prevalence,0.08,senior,VetCompass,"VetCompass 2021 Breed Health Report"
dog_chihuahua,hypoglycemia,prevalence,0.06,puppy,VetCompass,"VetCompass 2021 Breed Health Report"
dog_crossbreed,obesity,prevalence,0.10,all,VetCompass,"VetCompass 2021 Breed Health Report"
dog_crossbreed,dental_disease,prevalence,0.12,senior,VetCompass,"VetCompass 2021 Breed Health Report"
dog_crossbreed,ear_infection,prevalence,0.08,all,VetCompass,"VetCompass 2021 Breed Health Report"
dog_crossbreed,skin_allergies,prevalence,0.08,all,VetCompass,"VetCompass 2021 Breed Health Report"
dog_crossbreed,arthritis,prevalence,0.10,senior,VetCompass,"VetCompass 2021 Breed Health Report"
cat_domestic_shorthair,kidney_disease,prevalence,0.15,senior,VetCompass,"VetCompass 2021 Breed Health Report"
cat_domestic_shorthair,dental_disease,prevalence,0.18,all,VetCompass,"VetCompass 2021 Breed Health Report"
cat_domestic_shorthair,obesity,prevalence,0.12,all,VetCompass,"VetCompass 2021 Breed Health Report"
cat_domestic_shorthair,hyperthyroidism,prevalence,0.10,senior,VetCompass,"VetCompass 2021 Breed Health Report"
cat_domestic_shorthair,urinary_disease,prevalence,0.08,all,VetCompass,"VetCompass 2021 Breed Health Report"
cat_domestic_longhair,kidney_disease,prevalence,0.15,senior,VetCompass,"VetCompass 2021 Breed Health Report"
cat_domestic_longhair,dental_disease,prevalence,0.18,all,VetCompass,"VetCompass 2021 Breed Health Report"
cat_domestic_longhair,obesity,prevalence,0.12,all,VetCompass,"VetCompass 2021 Breed Health Report"
cat_domestic_longhair,hairballs,prevalence,0.20,all,VetCompass,"VetCompass 2021 Breed Health Report"
cat_domestic_longhair,skin_disease,prevalence,0.08,all,VetCompass,"VetCompass 2021 Breed Health Report"
cat_british_shorthair,heart_disease,prevalence,0.12,all,VetCompass,"VetCompass 2021 Breed Health Report"
cat_british_shorthair,kidney_disease,prevalence,0.10,senior,VetCompass,"VetCompass 2021 Breed Health Report"
cat_british_shorthair,obesity,prevalence,0.18,all,VetCompass,"VetCompass 2021 Breed Health Report"
cat_british_shorthair,dental_disease,prevalence,0.12,all,VetCompass,"VetCompass 2021 Breed Health Report"
cat_british_shorthair,arthritis,prevalence,0.08,senior,VetCompass,"VetCompass 2021 Breed Health Report"
cat_maine_coon,heart_disease,prevalence,0.18,all,VetCompass,"VetCompass 2021 Breed Health Report"
cat_maine_coon,hip_dysplasia,prevalence,0.12,all,VetCompass,"VetCompass 2021 Breed Health Report"
cat_maine_coon,spinal_muscular_atrophy,prevalence,0.04,all,VetCompass,"VetCompass 2021 Breed Health Report"
cat_maine_coon,dental_disease,prevalence,0.10,all,VetCompass,"VetCompass 2021 Breed Health Report"
cat_maine_coon,obesity,prevalence,0.08,all,VetCompass,"VetCompass 2021 Breed Health Report"
cat_ragdoll,heart_disease,prevalence,0.15,all,VetCompass,"VetCompass 2021 Breed Health Report"
cat_ragdoll,kidney_disease,prevalence,0.10,senior,VetCompass,"VetCompass 2021 Breed Health Report"
cat_ragdoll,urinary_disease,prevalence,0.08,all,VetCompass,"VetCompass 2021 Breed Health Report"
cat_ragdoll,dental_disease,prevalence,0.10,all,VetCompass,"VetCompass 2021 Breed Health Report"
cat_ragdoll,obesity,prevalence,0.12,all,VetCompass,"VetCompass 2021 Breed Health Report"
cat_siamese,respiratory_disease,prevalence,0.12,all,VetCompass,"VetCompass 2021 Breed Health Report"
cat_siamese,dental_disease,prevalence,0.15,all,VetCompass,"VetCompass 2021 Breed Health Report"
cat_siamese,amyloidosis,prevalence,0.05,senior,VetCompass,"VetCompass 2021 Breed Health Report"
cat_siamese,eye_disease,prevalence,0.08,all,VetCompass,"VetCompass 2021 Breed Health Report"
cat_siamese,cancer,prevalence,0.10,senior,VetCompass,"VetCompass 2021 Breed Health Report"
cat_persian,kidney_disease,prevalence,0.25,all,VetCompass,"VetCompass 2021 Breed Health Report"
cat_persian,boas,prevalence,0.20,all,VetCompass,"VetCompass 2021 Breed Health Report"
cat_persian,eye_disease,prevalence,0.18,all,VetCompass,"VetCompass 2021 Breed Health Report"
cat_persian,dental_disease,prevalence,0.22,all,VetCompass,"VetCompass 2021 Breed Health Report"
cat_persian,skin_disease,prevalence,0.10,all,VetCompass,"VetCompass 2021 Breed Health Report"
cat_bengal,heart_disease,prevalence,0.10,all,VetCompass,"VetCompass 2021 Breed Health Report"
cat_bengal,digestive_disease,prevalence,0.12,all,VetCompass,"VetCompass 2021 Breed Health Report"
cat_bengal,patellar_luxation,prevalence,0.06,all,VetCompass,"VetCompass 2021 Breed Health Report"
cat_bengal,dental_disease,prevalence,0.08,all,VetCompass,"VetCompass 2021 Breed Health Report"
cat_bengal,eye_disease,prevalence,0.05,all,VetCompass,"VetCompass 2021 Breed Health Report"
cat_russian_blue,urinary_disease,prevalence,0.08,all,VetCompass,"VetCompass 2021 Breed Health Report"
cat_russian_blue,obesity,prevalence,0.10,all,VetCompass,"VetCompass 2021 Breed Health Report"
cat_russian_blue,dental_disease,prevalence,0.08,all,VetCompass,"VetCompass 2021 Breed Health Report"
cat_russian_blue,kidney_disease,prevalence,0.06,senior,VetCompass,"VetCompass 2021 Breed Health Report"
cat_russian_blue,eye_disease,prevalence,0.04,all,VetCompass,"VetCompass 2021 Breed Health Report"
cat_abyssinian,kidney_disease,prevalence,0.15,senior,VetCompass,"VetCompass 2021 Breed Health Report"
cat_abyssinian,eye_disease,prevalence,0.10,all,VetCompass,"VetCompass 2021 Breed Health Report"
cat_abyssinian,dental_disease,prevalence,0.12,all,VetCompass,"VetCompass 2021 Breed Health Report"
cat_abyssinian,hyperthyroidism,prevalence,0.08,senior,VetCompass,"VetCompass 2021 Breed Health Report"
cat_abyssinian,blood_disorder,prevalence,0.05,all,VetCompass,"VetCompass 2021 Breed Health Report"
cat_sphynx,heart_disease,prevalence,0.18,all,VetCompass,"VetCompass 2021 Breed Health Report"
cat_sphynx,skin_disease,prevalence,0.25,all,VetCompass,"VetCompass 2021 Breed Health Report"
cat_sphynx,respiratory_disease,prevalence,0.10,all,VetCompass,"VetCompass 2021 Breed Health Report"
cat_sphynx,digestive_disease,prevalence,0.08,all,VetCompass,"VetCompass 2021 Breed Health Report"
cat_sphynx,dental_disease,prevalence,0.15,all,VetCompass,"VetCompass 2021 Breed Health Report"
cat_scottish_fold,osteochondrodysplasia,prevalence,0.30,all,VetCompass,"VetCompass 2021 Breed Health Report"
cat_scottish_fold,heart_disease,prevalence,0.12,all,VetCompass,"VetCompass 2021 Breed Health Report"
cat_scottish_fold,arthritis,prevalence,0.25,all,VetCompass,"VetCompass 2021 Breed Health Report"
cat_scottish_fold,ear_disease,prevalence,0.10,all,VetCompass,"VetCompass 2021 Breed Health Report"
cat_scottish_fold,dental_disease,prevalence,0.12,all,VetCompass,"VetCompass 2021 Breed Health Report"
cat_burmese,diabetes,prevalence,0.12,senior,VetCompass,"VetCompass 2021 Breed Health Report"
cat_burmese,hypokalaemia,prevalence,0.06,all,VetCompass,"VetCompass 2021 Breed Health Report"
cat_burmese,dental_disease,prevalence,0.10,all,VetCompass,"VetCompass 2021 Breed Health Report"
cat_burmese,eye_disease,prevalence,0.08,all,VetCompass,"VetCompass 2021 Breed Health Report"
cat_burmese,kidney_disease,prevalence,0.08,senior,VetCompass,"VetCompass 2021 Breed Health Report"
cat_birman,kidney_disease,prevalence,0.12,senior,VetCompass,"VetCompass 2021 Breed Health Report"
cat_birman,heart_disease,prevalence,0.10,all,VetCompass,"VetCompass 2021 Breed Health Report"
cat_birman,dental_disease,prevalence,0.10,all,VetCompass,"VetCompass 2021 Breed Health Report"
cat_birman,eye_disease,prevalence,0.06,all,VetCompass,"VetCompass 2021 Breed Health Report"
cat_birman,skin_disease,prevalence,0.05,all,VetCompass,"VetCompass 2021 Breed Health Report"
cat_norwegian_forest,hip_dysplasia,prevalence,0.10,all,VetCompass,"VetCompass 2021 Breed Health Report"
cat_norwegian_forest,heart_disease,prevalence,0.12,all,VetCompass,"VetCompass 2021 Breed Health Report"
cat_norwegian_forest,kidney_disease,prevalence,0.08,senior,VetCompass,"VetCompass 2021 Breed Health Report"
cat_norwegian_forest,dental_disease,prevalence,0.10,all,VetCompass,"VetCompass 2021 Breed Health Report"
cat_norwegian_forest,glycogen_storage_disease,prevalence,0.03,all,VetCompass,"VetCompass 2021 Breed Health Report"
