procedure_id,procedure_name,category,species,year,got_version,fee_1x,fee_2x,fee_3x,currency,source,citation
blood_draw,Blood Draw (venous),diagnostics,dog,2022,GOT_2022,8.01,16.02,24.03,EUR,BMEL,"GOT 2022 official (BJNR140100022)"
blood_draw,Blood Draw (venous),diagnostics,cat,1999,GOT_1999,5.11,10.22,15.33,EUR,GOT_Archive,"Calculated from GOT 1999 baseline"
blood_draw,Blood Draw (venous),diagnostics,cat,2008,GOT_2008,5.72,11.44,17.16,EUR,GOT_Archive,"GOT 2008 (+12% from 1999)"
blood_draw,Blood Draw (venous),diagnostics,cat,2017,GOT_2017,6.41,12.82,19.23,EUR,Buzer.de,"GOT 2017 official text"
blood_draw,Blood Draw (venous),diagnostics,cat,2022,GOT_2022,8.01,16.02,24.03,EUR,BMEL,"GOT 2022 official (BJNR140100022)"
wound_suture,Wound Suture (simple),surgery,dog,1999,GOT_1999,10.23,20.46,30.69,EUR,GOT_Archive,"Calculated from GOT 1999 baseline"
wound_suture,Wound Suture (simple),surgery,dog,2008,GOT_2008,11.46,22.92,34.38,EUR,GOT_Archive,"GOT 2008 (+12% from 1999)"
wound_suture,Wound Suture (simple),surgery,dog,2017,GOT_2017,12.84,25.68,38.52,EUR,Buzer.de,"GOT 2017 official text"
wound_suture,Wound Suture (simple),surgery,dog,2022,GOT_2022,20.54,41.08,61.62,EUR,BMEL,"GOT 2022 official (BJNR140100022)"
wound_suture,Wound Suture (simple),surgery,cat,1999,GOT_1999,10.23,20.46,30.69,EUR,GOT_Archive,"Calculated from GOT 1999 baseline"
wound_suture,Wound Suture (simple),surgery,cat,2008,GOT_2008,11.46,22.92,34.38,EUR,GOT_Archive,"GOT 2008 (+12% from 1999)"
wound_suture,Wound Suture (simple),surgery,cat,2017,GOT_2017,12.84,25.68,38.52,EUR,Buzer.de,"GOT 2017 official text"
wound_suture,Wound Suture (simple),surgery,cat,2022,GOT_2022,20.54,41.08,61.62,EUR,BMEL,"GOT 2022 official (BJNR140100022)"
injection,Injection (subcutaneous/intramuscular),treatment,dog,1999,GOT_1999,4.60,9.20,13.80,EUR,GOT_Archive,"Calculated from GOT 1999 baseline"
injection,Injection (subcutaneous/intramuscular),treatment,dog,2008,GOT_2008,5.15,10.30,15.45,EUR,GOT_Archive,"GOT 2008 (+12% from 1999)"
injection,Injection (subcutaneous/intramuscular),treatment,dog,2017,GOT_2017,5.77,11.54,17.31,EUR,Buzer.de,"GOT 2017 official text"
injection,Injection (subcutaneous/intramuscular),treatment,dog,2022,GOT_2022,11.50,23.00,34.50,EUR,BMEL,"GOT 2022 official (BJNR140100022)"
injection,Injection (subcutaneous/intramuscular),treatment,cat,1999,GOT_1999,4.60,9.20,13.80,EUR,GOT_Archive,"Calculated from GOT 1999 baseline"
injection,Injection (subcutaneous/intramuscular),treatment,cat,2008,GOT_2008,5.15,10.30,15.45,EUR,GOT_Archive,"GOT 2008 (+12% from 1999)"
injection,Injection (subcutaneous/intramuscular),treatment,cat,2017,GOT_2017,5.77,11.54,17.31,EUR,Buzer.de,"GOT 2017 official text"
injection,Injection (subcutaneous/intramuscular),treatment,cat,2022,GOT_2022,11.50,23.00,34.50,EUR,BMEL,"GOT 2022 official (BJNR140100022)"
dental_extraction,Tooth Extraction (simple),dental,dog,1999,GOT_1999,5.11,10.22,15.33,EUR,GOT_Archive,"Calculated from GOT 1999 baseline"
dental_extraction,Tooth Extraction (simple),dental,dog,2008,GOT_2008,5.72,11.44,17.16,EUR,GOT_Archive,"GOT 2008 (+12% from 1999)"
dental_extraction,Tooth Extraction (simple),dental,dog,2017,GOT_2017,6.41,12.82,19.23,EUR,Buzer.de,"GOT 2017 official text"
dental_extraction,Tooth Extraction (simple),dental,dog,2022,GOT_2022,10.26,20.52,30.78,EUR,BMEL,"GOT 2022 official (BJNR140100022)"
dental_extraction,Tooth Extraction (simple),dental,cat,1999,GOT_1999,5.11,10.22,15.33,EUR,GOT_Archive,"Calculated from GOT 1999 baseline"
dental_extraction,Tooth Extraction (simple),dental,cat,2008,GOT_2008,5.72,11.44,17.16,EUR,GOT_Archive,"GOT 2008 (+12% from 1999)"
dental_extraction,Tooth Extraction (simple),dental,cat,2017,GOT_2017,6.41,12.82,19.23,EUR,Buzer.de,"GOT 2017 official text"
dental_extraction,Tooth Extraction (simple),dental,cat,2022,GOT_2022,10.26,20.52,30.78,EUR,BMEL,"GOT 2022 official (BJNR140100022)"
emergency_fee,Emergency/After-Hours Fee,surcharge,all,2020,GOT_2020,50.00,100.00,150.00,EUR,BMEL,"GOT 2020 amendment - Notdienstgebühr"
emergency_fee,Emergency/After-Hours Fee,surcharge,all,2022,GOT_2022,50.00,100.00,150.00,EUR,BMEL,"GOT 2022 official (BJNR140100022)"
