breed_id,sex,country,le_years,le_low,le_high,source,citation
dog_dachshund,female,all,12.7,11.2,14.2,VetCompass,"Teng et al. 2022 Scientific Reports"
dog_miniature_dachshund,all,all,14.0,12.5,15.5,VetCompass,"McMillan et al. 2024 Scientific Reports"
dog_miniature_dachshund,male,all,13.8,12.3,15.3,VetCompass,"McMillan et al. 2024 Scientific Reports"
dog_miniature_dachshund,female,all,14.2,12.7,15.7,VetCompass,"McMillan et al. 2024 Scientific Reports"
dog_shih_tzu,all,all,13.0,11.5,14.5,VetCompass,"Teng et al. 2022 Scientific Reports"
dog_shih_tzu,male,all,12.8,11.3,14.3,VetCompass,"Teng et al. 2022 Scientific Reports"
dog_shih_tzu,female,all,13.2,11.7,14.7,VetCompass,"Teng et al. 2022 Scientific Reports"
dog_siberian_husky,all,all,12.0,10.5,13.5,VetCompass,"Teng et al. 2022 Scientific Reports"
dog_siberian_husky,male,all,11.8,10.3,13.3,VetCompass,"Teng et al. 2022 Scientific Reports"
dog_siberian_husky,female,all,12.2,10.7,13.7,VetCompass,"Teng et al. 2022 Scientific Reports"
dog_cavalier_king_charles,all,all,9.5,8.0,11.0,VetCompass,"Teng et al. 2022 Scientific Reports"
dog_cavalier_king_charles,male,all,9.3,7.8,10.8,VetCompass,"Teng et al. 2022 Scientific Reports"
dog_cavalier_king_charles,female,all,9.7,8.2,11.2,VetCompass,"Teng et al. 2022 Scientific Reports"
dog_pug,all,all,7.6,6.2,9.0,VetCompass,"Teng et al. 2022 Scientific Reports"
dog_pug,male,all,7.4,6.0,8.8,VetCompass,"Teng et al. 2022 Scientific Reports"
dog_pug,female,all,7.8,6.4,9.2,VetCompass,"Teng et al. 2022 Scientific Reports"
dog_border_collie,all,all,12.5,11.0,14.0,VetCompass,"Teng et al. 2022 Scientific Reports"
dog_border_collie,male,all,12.3,10.8,13.8,VetCompass,"Teng et al. 2022 Scientific Reports"
dog_border_collie,female,all,12.7,11.2,14.2,VetCompass,"Teng et al. 2022 Scientific Reports"
dog_cocker_spaniel,all,all,11.5,10.0,13.0,VetCompass,"Teng et al. 2022 Scientific Reports"
dog_cocker_spaniel,male,all,11.3,9.8,12.8,VetCompass,"Teng et al. 2022 Scientific Reports"
dog_cocker_spaniel,female,all,11.7,10.2,13.2,VetCompass,"Teng et al. 2022 Scientific Reports"
dog_jack_russell,all,all,12.7,11.2,14.2,VetCompass,"Teng et al. 2022 Scientific Reports"
dog_jack_russell,male,all,12.5,11.0,14.0,VetCompass,"Teng et al. 2022 Scientific Reports"
dog_jack_russell,female,all,12.9,11.4,14.4,VetCompass,"Teng et al. 2022 Scientific Reports"
dog_miniature_schnauzer,all,all,12.0,10.5,13.5,VetCompass,"Teng et al. 2022 Scientific Reports"
dog_miniature_schnauzer,male,all,11.8,10.3,13.3,VetCompass,"Teng et al. 2022 Scientific Reports"
dog_miniature_schnauzer,female,all,12.2,10.7,13.7,VetCompass,"Teng et al. 2022 Scientific Reports"
dog_chihuahua,all,all,12.5,11.0,14.0,VetCompass,"Teng et al. 2022 Scientific Reports"
dog_chihuahua,male,all,12.3,10.8,13.8,VetCompass,"Teng et al. 2022 Scientific Reports"
dog_chihuahua,female,all,12.7,11.2,14.2,VetCompass,"Teng et al. 2022 Scientific Reports"
dog_lancashire_heeler,all,all,15.4,13.9,16.9,VetCompass,"McMillan et al. 2024 Scientific Reports"
dog_lancashire_heeler,male,all,15.2,13.7,16.7,VetCompass,"McMillan et al. 2024 Scientific Reports"
dog_lancashire_heeler,female,all,15.6,14.1,17.1,VetCompass,"McMillan et al. 2024 Scientific Reports"
dog_tibetan_spaniel,all,all,15.2,13.7,16.7,VetCompass,"McMillan et al. 2024 Scientific Reports"
dog_tibetan_spaniel,male,all,15.0,13.5,16.5,VetCompass,"McMillan et al. 2024 Scientific Reports"
dog_tibetan_spaniel,female,all,15.4,13.9,16.9,VetCompass,"McMillan et al. 2024 Scientific Reports"
dog_great_dane,all,all,7.5,6.0,9.0,VetCompass,"McMillan et al. 2024 Scientific Reports"
dog_great_dane,male,all,7.2,5.7,8.7,VetCompass,"McMillan et al. 2024 Scientific Reports"
dog_great_dane,female,all,7.8,6.3,9.3,VetCompass,"McMillan et al. 2024 Scientific Reports"
dog_doberman,all,all,10.5,9.0,12.0,VetCompass,"McMillan et al. 2024 Scientific Reports"
dog_doberman,male,all,10.3,8.8,11.8,VetCompass,"McMillan et al. 2024 Scientific Reports"
dog_doberman,female,all,10.7,9.2,12.2,VetCompass,"McMillan et al. 2024 Scientific Reports"
dog_australian_shepherd,all,all,13.5,12.0,15.0,VetCompass,"McMillan et al. 2024 Scientific Reports"
dog_australian_shepherd,male,all,13.3,11.8,14.8,VetCompass,"McMillan et al. 2024 Scientific Reports"
dog_australian_shepherd,female,all,13.7,12.2,15.2,VetCompass,"McMillan et al. 2024 Scientific Reports"
dog_bernese_mountain,all,all,8.0,6.5,9.5,VetCompass,"McMillan et al. 2024 Scientific Reports"
dog_bernese_mountain,male,all,7.8,6.3,9.3,VetCompass,"McMillan et al. 2024 Scientific Reports"
dog_bernese_mountain,female,all,8.2,6.7,9.7,VetCompass,"McMillan et al. 2024 Scientific Reports"
dog_mastiff,all,all,9.0,7.5,10.5,VetCompass,"McMillan et al. 2024 Scientific Reports"
dog_mastiff,male,all,8.8,7.3,10.3,VetCompass,"McMillan et al. 2024 Scientific Reports"
dog_mastiff,female,all,9.2,7.7,10.7,VetCompass,"McMillan et al. 2024 Scientific Reports"
dog_springer_spaniel,all,all,13.0,11.5,14.5,VetCompass,"McMillan et al. 2024 Scientific Reports"
dog_springer_spaniel,male,all,12.8,11.3,14.3,VetCompass,"McMillan et al. 2024 Scientific Reports"
dog_springer_spaniel,female,all,13.2,11.7,14.7,VetCompass,"McMillan et al. 2024 Scientific Reports"
dog_staffordshire_bull_terrier,all,all,12.0,10.5,13.5,VetCompass,"McMillan et al. 2024 Scientific Reports"
dog_staffordshire_bull_terrier,male,all,11.8,10.3,13.3,VetCompass,"McMillan et al. 2024 Scientific Reports"
dog_staffordshire_bull_terrier,female,all,12.2,10.7,13.7,VetCompass,"McMillan et al. 2024 Scientific Reports"
dog_weimaraner,all,all,11.5,10.0,13.0,VetCompass,"McMillan et al. 2024 Scientific Reports"
dog_weimaraner,male,all,11.3,9.8,12.8,VetCompass,"McMillan et al. 2024 Scientific Reports"
dog_weimaraner,female,all,11.7,10.2,13.2,VetCompass,"McMillan et al. 2024 Scientific Reports"
dog_cane_corso,all,all,8.1,6.6,9.6,VetCompass,"McMillan et al. 2024 Scientific Reports"
dog_cane_corso,male,all,7.9,6.4,9.4,VetCompass,"McMillan et al. 2024 Scientific Reports"
dog_cane_corso,female,all,8.3,6.8,9.8,VetCompass,"McMillan et al. 2024 Scientific Reports"
dog_presa_canario,all,all,7.7,6.2,9.2,VetCompass,"McMillan et al. 2024 Scientific Reports"
dog_presa_canario,male,all,7.5,6.0,9.0,VetCompass,"McMillan et al. 2024 Scientific Reports"
dog_presa_canario,female,all,7.9,6.4,9.4,VetCompass,"McMillan et al. 2024 Scientific Reports"
dog_caucasian_shepherd,all,all,5.4,4.0,6.8,VetCompass,"McMillan et al. 2024 Scientific Reports"
dog_caucasian_shepherd,male,all,5.2,3.8,6.6,VetCompass,"McMillan et al. 2024 Scientific Reports"
dog_caucasian_shepherd,female,all,5.6,4.2,7.0,VetCompass,"McMillan et al. 2024 Scientific Reports"
dog_bichon_frise,all,all,12.5,11.0,14.0,VetCompass,"McMillan et al. 2024 Scientific Reports"
dog_bichon_frise,male,all,12.3,10.8,13.8,VetCompass,"McMillan et al. 2024 Scientific Reports"
dog_bichon_frise,female,all,12.7,11.2,14.2,VetCompass,"McMillan et al. 2024 Scientific Reports"
dog_pomeranian,all,all,11.5,10.0,13.0,VetCompass,"McMillan et al. 2024 Scientific Reports"
dog_pomeranian,male,all,11.3,9.8,12.8,VetCompass,"McMillan et al. 2024 Scientific Reports"
dog_pomeranian,female,all,11.7,10.2,13.2,VetCompass,"McMillan et al. 2024 Scientific Reports"
dog_maltese,all,all,12.2,10.7,13.7,VetCompass,"McMillan et al. 2024 Scientific Reports"
dog_maltese,male,all,12.0,10.5,13.5,VetCompass,"McMillan et al. 2024 Scientific Reports"
dog_maltese,female,all,12.4,10.9,13.9,VetCompass,"McMillan et al. 2024 Scientific Reports"
dog_west_highland_terrier,all,all,12.8,11.3,14.3,VetCompass,"McMillan et al. 2024 Scientific Reports"
dog_west_highland_terrier,male,all,12.6,11.1,14.1,VetCompass,"McMillan et al. 2024 Scientific Reports"
dog_west_highland_terrier,female,all,13.0,11.5,14.5,VetCompass,"McMillan et al. 2024 Scientific Reports"
dog_boston_terrier,all,all,11.0,9.5,12.5,VetCompass,"McMillan et al. 2024 Scientific Reports"
dog_boston_terrier,male,all,10.8,9.3,12.3,VetCompass,"McMillan et al. 2024 Scientific Reports"
dog_boston_terrier,female,all,11.2,9.7,12.7,VetCompass,"McMillan et al. 2024 Scientific Reports"
dog_shetland_sheepdog,all,all,12.5,11.0,14.0,VetCompass,"McMillan et al. 2024 Scientific Reports"
dog_shetland_sheepdog,male,all,12.3,10.8,13.8,VetCompass,"McMillan et al. 2024 Scientific Reports"
dog_shetland_sheepdog,female,all,12.7,11.2,14.2,VetCompass,"McMillan et al. 2024 Scientific Reports"
dog_akita,all,all,10.5,9.0,12.0,VetCompass,"McMillan et al. 2024 Scientific Reports"
dog_akita,male,all,10.3,8.8,11.8,VetCompass,"McMillan et al. 2024 Scientific Reports"
dog_akita,female,all,10.7,9.2,12.2,VetCompass,"McMillan et al. 2024 Scientific Reports"
dog_basenji,all,all,13.5,12.0,15.0,VetCompass,"McMillan et al. 2024 Scientific Reports"
dog_basenji,male,all,13.3,11.8,14.8,VetCompass,"McMillan et al. 2024 Scientific Reports"
dog_basenji,female,all,13.7,12.2,15.2,VetCompass,"McMillan et al. 2024 Scientific Reports"
dog_whippet,all,all,13.0,11.5,14.5,VetCompass,"McMillan et al. 2024 Scientific Reports"
dog_whippet,male,all,12.8,11.3,14.3,VetCompass,"McMillan et al. 2024 Scientific Reports"
dog_whippet,female,all,13.2,11.7,14.7,VetCompass,"McMillan et al. 2024 Scientific Reports"
dog_samoyed,all,all,12.0,10.5,13.5,VetCompass,"McMillan et al. 2024 Scientific Reports"
dog_samoyed,male,all,11.8,10.3,13.3,VetCompass,"McMillan et al. 2024 Scientific Reports"
dog_samoyed,female,all,12.2,10.7,13.7,VetCompass,"McMillan et al. 2024 Scientific Reports"
dog_basset_hound,all,all,11.0,9.5,12.5,VetCompass,"McMillan et al. 2024 Scientific Reports"
dog_basset_hound,male,all,10.8,9.3,12.3,VetCompass,"McMillan et al. 2024 Scientific Reports"
dog_basset_hound,female,all,11.2,9.7,12.7,VetCompass,"McMillan et al. 2024 Scientific Reports"
dog_shiba_inu,all,all,13.5,12.0,15.0,VetCompass,"McMillan et al. 2024 Scientific Reports"
dog_shiba_inu,male,all,13.3,11.8,14.8,VetCompass,"McMillan et al. 2024 Scientific Reports"
dog_shiba_inu,female,all,13.7,12.2,15.2,VetCompass,"McMillan et al. 2024 Scientific Reports"
dog_dalmatian,all,all,11.5,10.0,13.0,VetCompass,"McMillan et al. 2024 Scientific Reports"
dog_dalmatian,male,all,11.3,9.8,12.8,VetCompass,"McMillan et al. 2024 Scientific Reports"
dog_dalmatian,female,all,11.7,10.2,13.2,VetCompass,"McMillan et al. 2024 Scientific Reports"
dog_vizsla,all,all,12.5,11.0,14.0,VetCompass,"McMillan et al. 2024 Scientific Reports"
dog_vizsla,male,all,12.3,10.8,13.8,VetCompass,"McMillan et al. 2024 Scientific Reports"
dog_vizsla,female,all,12.7,11.2,14.2,VetCompass,"McMillan et al. 2024 Scientific Reports"
cat_generic,all,all,11.7,10.2,13.2,VetCompass,"Teng et al. 2024 JFMS"
cat_generic,male,all,11.2,9.7,12.7,VetCompass,"Teng et al. 2024 JFMS"
cat_generic,female,all,12.5,11.0,14.0,VetCompass,"Teng et al. 2024 JFMS"
cat_mixed,all,all,13.2,11.7,14.7,VetCompass,"Teng et al. 2024 JFMS"
cat_mixed,male,all,12.7,11.2,14.2,VetCompass,"Teng et al. 2024 JFMS"
cat_mixed,female,all,13.9,12.4,15.4,VetCompass,"Teng et al. 2024 JFMS"
cat_domestic_shorthair,all,all,11.7,10.2,13.2,VetCompass,"Teng et al. 2024 JFMS"
cat_domestic_shorthair,male,all,11.2,9.7,12.7,VetCompass,"Teng et al. 2024 JFMS"
cat_domestic_shorthair,female,all,12.5,11.0,14.0,VetCompass,"Teng et al. 2024 JFMS"
cat_domestic_longhair,all,all,11.9,10.4,13.4,VetCompass,"Teng et al. 2024 JFMS"
cat_domestic_longhair,male,all,11.4,9.9,12.9,VetCompass,"Teng et al. 2024 JFMS"
cat_domestic_longhair,female,all,12.7,11.2,14.2,VetCompass,"Teng et al. 2024 JFMS"
cat_british_shorthair,all,all,11.8,10.3,13.3,VetCompass,"Teng et al. 2024 JFMS"
cat_british_shorthair,male,all,11.3,9.8,12.8,VetCompass,"Teng et al. 2024 JFMS"
cat_british_shorthair,female,all,12.6,11.1,14.1,VetCompass,"Teng et al. 2024 JFMS"
cat_maine_coon,all,all,11.0,9.5,12.5,VetCompass,"Teng et al. 2024 JFMS"
cat_maine_coon,male,all,10.5,9.0,12.0,VetCompass,"Teng et al. 2024 JFMS"
cat_maine_coon,female,all,11.8,10.3,13.3,VetCompass,"Teng et al. 2024 JFMS"
cat_ragdoll,all,all,11.2,9.7,12.7,VetCompass,"Teng et al. 2024 JFMS"
cat_ragdoll,male,all,10.7,9.2,12.2,VetCompass,"Teng et al. 2024 JFMS"
cat_ragdoll,female,all,12.0,10.5,13.5,VetCompass,"Teng et al. 2024 JFMS"
cat_siamese,all,all,11.7,10.2,13.2,VetCompass,"Teng et al. 2024 JFMS"
cat_siamese,male,all,11.2,9.7,12.7,VetCompass,"Teng et al. 2024 JFMS"
cat_siamese,female,all,12.5,11.0,14.0,VetCompass,"Teng et al. 2024 JFMS"
cat_persian,all,all,10.5,9.0,12.0,VetCompass,"Teng et al. 2024 JFMS"
cat_persian,male,all,10.0,8.5,11.5,VetCompass,"Teng et al. 2024 JFMS"
cat_persian,female,all,11.3,9.8,12.8,VetCompass,"Teng et al. 2024 JFMS"
cat_bengal,all,all,8.5,7.0,10.0,VetCompass,"Teng et al. 2024 JFMS"
cat_bengal,male,all,8.0,6.5,9.5,VetCompass,"Teng et al. 2024 JFMS"
cat_bengal,female,all,9.3,7.8,10.8,VetCompass,"Teng et al. 2024 JFMS"
cat_russian_blue,all,all,12.0,10.5,13.5,VetCompass,"Teng et al. 2024 JFMS"
cat_russian_blue,male,all,11.5,10.0,13.0,VetCompass,"Teng et al. 2024 JFMS"
cat_russian_blue,female,all,12.8,11.3,14.3,VetCompass,"Teng et al. 2024 JFMS"
cat_abyssinian,all,all,10.0,8.5,11.5,VetCompass,"Teng et al. 2024 JFMS"
cat_abyssinian,male,all,9.5,8.0,11.0,VetCompass,"Teng et al. 2024 JFMS"
cat_abyssinian,female,all,10.8,9.3,12.3,VetCompass,"Teng et al. 2024 JFMS"
cat_sphynx,all,all,6.7,5.2,8.2,VetCompass,"Teng et al. 2024 JFMS"
cat_sphynx,male,all,6.2,4.7,7.7,VetCompass,"Teng et al. 2024 JFMS"
cat_sphynx,female,all,7.5,6.0,9.0,VetCompass,"Teng et al. 2024 JFMS"
cat_scottish_fold,all,all,11.0,9.5,12.5,VetCompass,"Teng et al. 2024 JFMS"
cat_scottish_fold,male,all,10.5,9.0,12.0,VetCompass,"Teng et al. 2024 JFMS"
cat_scottish_fold,female,all,11.8,10.3,13.3,VetCompass,"Teng et al. 2024 JFMS"
cat_burmese,all,all,14.4,12.9,15.9,VetCompass,"Teng et al. 2024 JFMS"
cat_burmese,male,all,13.9,12.4,15.4,VetCompass,"Teng et al. 2024 JFMS"
cat_burmese,female,all,15.2,13.7,16.7,VetCompass,"Teng et al. 2024 JFMS"
cat_birman,all,all,14.4,12.9,15.9,VetCompass,"Teng et al. 2024 JFMS"
cat_birman,male,all,13.9,12.4,15.4,VetCompass,"Teng et al. 2024 JFMS"
cat_birman,female,all,15.2,13.7,16.7,VetCompass,"Teng et al. 2024 JFMS"
cat_norwegian_forest,all,all,12.5,11.0,14.0,VetCompass,"Teng et al. 2024 JFMS"
cat_norwegian_forest,male,all,12.0,10.5,13.5,VetCompass,"Teng et al. 2024 JFMS"
cat_norwegian_forest,female,all,13.3,11.8,14.8,VetCompass,"Teng et al. 2024 JFMS"
cat_oriental,all,all,11.5,10.0,13.0,VetCompass,"Teng et al. 2024 JFMS"
cat_oriental,male,all,11.0,9.5,12.5,VetCompass,"Teng et al. 2024 JFMS"
cat_oriental,female,all,12.3,10.8,13.8,VetCompass,"Teng et al. 2024 JFMS"
cat_tonkinese,all,all,12.0,10.5,13.5,VetCompass,"Teng et al. 2024 JFMS"
cat_tonkinese,male,all,11.5,10.0,13.0,VetCompass,"Teng et al. 2024 JFMS"
cat_tonkinese,female,all,12.8,11.3,14.3,VetCompass,"Teng et al. 2024 JFMS"
cat_devon_rex,all,all,11.0,9.5,12.5,VetCompass,"Teng et al. 2024 JFMS"
cat_devon_rex,male,all,10.5,9.0,12.0,VetCompass,"Teng et al. 2024 JFMS"
cat_devon_rex,female,all,11.8,10.3,13.3,VetCompass,"Teng et al. 2024 JFMS"
cat_cornish_rex,all,all,11.5,10.0,13.0,VetCompass,"Teng et al. 2024 JFMS"
cat_cornish_rex,male,all,11.0,9.5,12.5,VetCompass,"Teng et al. 2024 JFMS"
cat_cornish_rex,female,all,12.3,10.8,13.8,VetCompass,"Teng et al. 2024 JFMS"
cat_exotic_shorthair,all,all,10.0,8.5,11.5,VetCompass,"Teng et al. 2024 JFMS"
cat_exotic_shorthair,male,all,9.5,8.0,11.0,VetCompass,"Teng et al. 2024 JFMS"
cat_exotic_shorthair,female,all,10.8,9.3,12.3,VetCompass,"Teng et al. 2024 JFMS"
cat_ragamuffin,all,all,12.5,11.0,14.0,VetCompass,"Teng et al. 2024 JFMS"
cat_ragamuffin,male,all,12.0,10.5,13.5,VetCompass,"Teng et al. 2024 JFMS"
cat_ragamuffin,female,all,13.3,11.8,14.8,VetCompass,"Teng et al. 2024 JFMS"
cat_turkish_angora,all,all,12.0,10.5,13.5,VetCompass,"Teng et al. 2024 JFMS"
cat_turkish_angora,male,all,11.5,10.0,13.0,VetCompass,"Teng et al. 2024 JFMS"
cat_turkish_angora,female,all,12.8,11.3,14.3,VetCompass,"Teng et al. 2024 JFMS"
