condition_id,condition_name,category,country,cost_type,cost_low,cost_mid,cost_high,currency,year,source,citation
elbow_dysplasia,Elbow Dysplasia,orthopedic,DE,treatment,1300,2800,5500,EUR,2024,GOT_Estimate,"German GOT Fee Schedule 2024"
cruciate_disease,Cruciate Ligament Disease,orthopedic,DE,treatment,1900,3200,5000,EUR,2024,GOT_Estimate,"German GOT Fee Schedule 2024"
patellar_luxation,Patellar Luxation,orthopedic,DE,treatment,850,1800,3500,EUR,2024,GOT_Estimate,"German GOT Fee Schedule 2024"
arthritis,Arthritis,orthopedic,DE,annual_management,320,600,1200,EUR,2024,GOT_Estimate,"German GOT Fee Schedule 2024"
intervertebral_disc,Intervertebral Disc Disease,neurological,DE,treatment,2100,4500,8000,EUR,2024,GOT_Estimate,"German GOT Fee Schedule 2024"
degenerative_myelopathy,Degenerative Myelopathy,neurological,DE,annual_management,220,500,1000,EUR,2024,GOT_Estimate,"German GOT Fee Schedule 2024"
syringomyelia,Syringomyelia,neurological,DE,annual_management,550,1200,2500,EUR,2024,GOT_Estimate,"German GOT Fee Schedule 2024"
epilepsy,Epilepsy,neurological,DE,annual_management,430,800,1500,EUR,2024,GOT_Estimate,"German GOT Fee Schedule 2024"
spinal_disease,Spinal Disease,neurological,DE,treatment,1600,3500,7000,EUR,2024,GOT_Estimate,"German GOT Fee Schedule 2024"
heart_disease,Heart Disease,cardiovascular,DE,annual_management,550,1200,2500,EUR,2024,GOT_Estimate,"German GOT Fee Schedule 2024"
gastric_dilatation,Gastric Dilatation Volvulus,gastrointestinal,DE,treatment,2100,4000,8000,EUR,2024,GOT_Estimate,"German GOT Fee Schedule 2024"
pancreatitis,Pancreatitis,gastrointestinal,DE,treatment,550,1500,3500,EUR,2024,GOT_Estimate,"German GOT Fee Schedule 2024"
digestive_disease,Digestive Disease,gastrointestinal,DE,annual_management,220,500,1200,EUR,2024,GOT_Estimate,"German GOT Fee Schedule 2024"
liver_shunt,Liver Shunt,gastrointestinal,DE,treatment,2600,5000,10000,EUR,2024,GOT_Estimate,"German GOT Fee Schedule 2024"
boas,Brachycephalic Obstructive Airway Syndrome,respiratory,DE,treatment,1300,2500,5000,EUR,2024,GOT_Estimate,"German GOT Fee Schedule 2024"
tracheal_collapse,Tracheal Collapse,respiratory,DE,treatment,850,2000,4500,EUR,2024,GOT_Estimate,"German GOT Fee Schedule 2024"
respiratory_disease,Respiratory Disease,respiratory,DE,annual_management,220,500,1200,EUR,2024,GOT_Estimate,"German GOT Fee Schedule 2024"
heat_stroke,Heat Stroke,respiratory,DE,treatment,550,1500,4000,EUR,2024,GOT_Estimate,"German GOT Fee Schedule 2024"
skin_allergies,Skin Allergies,dermatological,DE,annual_management,330,800,2000,EUR,2024,GOT_Estimate,"German GOT Fee Schedule 2024"
skin_fold_dermatitis,Skin Fold Dermatitis,dermatological,DE,annual_management,220,500,1200,EUR,2024,GOT_Estimate,"German GOT Fee Schedule 2024"
skin_disease,Skin Disease,dermatological,DE,annual_management,220,600,1500,EUR,2024,GOT_Estimate,"German GOT Fee Schedule 2024"
ear_infection,Ear Infection,dermatological,DE,treatment,110,300,800,EUR,2024,GOT_Estimate,"German GOT Fee Schedule 2024"
ear_disease,Ear Disease,dermatological,DE,annual_management,160,400,1000,EUR,2024,GOT_Estimate,"German GOT Fee Schedule 2024"
eye_disease,Eye Disease,ophthalmological,DE,treatment,330,800,2500,EUR,2024,GOT_Estimate,"German GOT Fee Schedule 2024"
eye_ulcers,Eye Ulcers,ophthalmological,DE,treatment,220,500,1500,EUR,2024,GOT_Estimate,"German GOT Fee Schedule 2024"
cherry_eye,Cherry Eye,ophthalmological,DE,treatment,330,600,1200,EUR,2024,GOT_Estimate,"German GOT Fee Schedule 2024"
cancer,Cancer,oncological,DE,treatment,2100,5000,15000,EUR,2024,GOT_Estimate,"German GOT Fee Schedule 2024"
dental_disease,Dental Disease,dental,DE,treatment,330,600,1500,EUR,2024,GOT_Estimate,"German GOT Fee Schedule 2024"
obesity,Obesity,metabolic,DE,annual_management,110,300,800,EUR,2024,GOT_Estimate,"German GOT Fee Schedule 2024"
diabetes,Diabetes,metabolic,DE,annual_management,650,1200,2500,EUR,2024,GOT_Estimate,"German GOT Fee Schedule 2024"
hypothyroidism,Hypothyroidism,metabolic,DE,annual_management,220,400,800,EUR,2024,GOT_Estimate,"German GOT Fee Schedule 2024"
hyperthyroidism,Hyperthyroidism,metabolic,DE,annual_management,330,600,1200,EUR,2024,GOT_Estimate,"German GOT Fee Schedule 2024"
hyperlipidemia,Hyperlipidemia,metabolic,DE,annual_management,220,400,800,EUR,2024,GOT_Estimate,"German GOT Fee Schedule 2024"
hypoglycemia,Hypoglycemia,metabolic,DE,treatment,160,400,1000,EUR,2024,GOT_Estimate,"German GOT Fee Schedule 2024"
hypokalaemia,Hypokalaemia,metabolic,DE,annual_management,160,350,700,EUR,2024,GOT_Estimate,"German GOT Fee Schedule 2024"
kidney_disease,Chronic Kidney Disease,renal,DE,annual_management,430,1000,2500,EUR,2024,GOT_Estimate,"German GOT Fee Schedule 2024"
urinary_disease,Urinary Tract Disease,renal,DE,treatment,330,800,2000,EUR,2024,GOT_Estimate,"German GOT Fee Schedule 2024"
urinary_stones,Urinary Stones,renal,DE,treatment,850,2000,4500,EUR,2024,GOT_Estimate,"German GOT Fee Schedule 2024"
amyloidosis,Amyloidosis,renal,DE,annual_management,550,1200,2500,EUR,2024,GOT_Estimate,"German GOT Fee Schedule 2024"
deafness,Deafness,sensory,DE,diagnosis,220,400,800,EUR,2024,GOT_Estimate,"German GOT Fee Schedule 2024"
blood_disorder,Blood Disorder,hematological,DE,annual_management,430,900,2000,EUR,2024,GOT_Estimate,"German GOT Fee Schedule 2024"
hairballs,Hairballs,gastrointestinal,DE,annual_management,60,150,400,EUR,2024,GOT_Estimate,"German GOT Fee Schedule 2024"
spinal_muscular_atrophy,Spinal Muscular Atrophy,neurological,DE,annual_management,220,500,1000,EUR,2024,GOT_Estimate,"German GOT Fee Schedule 2024"
osteochondrodysplasia,Osteochondrodysplasia,orthopedic,DE,annual_management,330,800,2000,EUR,2024,GOT_Estimate,"German GOT Fee Schedule 2024"
glycogen_storage_disease,Glycogen Storage Disease,metabolic,DE,annual_management,430,900,1800,EUR,2024,GOT_Estimate,"German GOT Fee Schedule 2024"
